Office ID,Office Name,Booking Date,Product Name,Walk-in Customer,Registered Bulk,On Postal Service,Govt Service,Walk-in Non-Commercial,Non-Commercial,Commercial,E-commerce,PIDPI,Student Mail,Others,Walk-in Commercial,Walk-in E-commerce,Bulk Non-Commercial,Bulk Commercial,Bulk E-commerce,BO Rebooking,Free Active Service,Inter FPO
11107887,APHB Colony B.O,02-05-2026,All Products,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660555,APIIIT S.O,02-05-2026,All Products,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661207,APSP Camp S.O (East Godavari),02-05-2026,All Products,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100804,APSP Xl Batallion B.O,02-05-2026,All Products,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660995,APUHS SO,02-05-2026,All Products,31,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
11108222,AS Kaviti BO,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660380,AVILALA SO,02-05-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11102970,Abbiraju Palem B.O,02-05-2026,All Products,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101178,Achampalle B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101179,Adadakulapalli B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100784,Adapur B.O,02-05-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11102579,Adavikothuru B.O,02-05-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11102971,Adavipalem B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660833,Addanki S.O,02-05-2026,All Products,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107197,Addaripeta B.O,02-05-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661203,Addatigala S.O,02-05-2026,All Products,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106641,Adduru B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661295,Adikavi Nannayya University Campus S.O,02-05-2026,All Products,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11102580,Adivikodiyambedu B.O,02-05-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660222,Adoni Arts College S.O,02-05-2026,All Products,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360009,Adoni H.O,02-05-2026,All Products,129,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660223,Adoni town S.O,02-05-2026,All Products,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103615,Adurupalli B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103191,Agadalalanka B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660330,Agadur S.O,02-05-2026,All Products,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661424,Aganampudi S.O,02-05-2026,All Products,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11102583,Agraharam B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11102584,Agraharam B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108193,Agurukancharam B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660721,Ainavole S.O,02-05-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108194,Aitam Engg.College B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105332,Ajjaram B.O,02-05-2026,All Products,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100788,Akepadu B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660449,Akividu S.O,02-05-2026,All Products,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661425,Akkayyapalem S.O,02-05-2026,All Products,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660379,Akkurthi S.O,02-05-2026,All Products,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100002,Akuledu B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660994,Akunuru S.O,02-05-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661488,Alamanda R S S.O,02-05-2026,All Products,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661296,Alamuru S.O,02-05-2026,All Products,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660450,Alamuru S.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100412,Alappalle B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661297,Alcot Gardens S.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108201,Allada B.O,02-05-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660283,Allagadda MDG S.O,02-05-2026,All Products,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105743,Allapuram B.O,02-05-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106030,Allinagaram B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108204,Allivalasa BO,02-05-2026,All Products,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101601,Allur B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660773,Allur S.O,02-05-2026,All Products,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660224,Alur S.O (Kurnool),02-05-2026,All Products,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101602,Amadaguntla B.O,02-05-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660170,Amadagur S.O,02-05-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360052,Amadalavalasa H.O,02-05-2026,All Products,64,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360042,Amalapuram H.O,02-05-2026,All Products,94,51,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660171,Amarapuram S.O,02-05-2026,All Products,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660632,Amaravathi Road(Guntur) S.O,02-05-2026,All Products,44,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660633,Amaravathi S.O,02-05-2026,All Products,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660940,Amartaluru S.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661121,Ambajipeta S.O,02-05-2026,All Products,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11101185,Amidalakunta B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107200,Aminabad B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107483,Amiti B.O,02-05-2026,All Products,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107484,Amiti B.O,02-05-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661204,Ammajipeta S.O,02-05-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660834,Ammanabrolu S.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11104961,Ammavaripalem B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106647,Ammulapalem B.O,02-05-2026,All Products,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107485,Ampavalli B.O,02-05-2026,All Products,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360044,Anakapalle H.O,02-05-2026,All Products,92,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661426,Anandapuram S.O (Visakhapatnam),02-05-2026,All Products,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660905,Anantapalli S.O,02-05-2026,All Products,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660003,Anantapur Collectorate S.O,02-05-2026,All Products,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660004,Anantapur Engg College S.O,02-05-2026,All Products,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360001,Anantapur H.O,02-05-2026,All Products,262,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11260001,Anantapur RMS  BOOKING Office,02-05-2026,All Products,46,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103914,Anantavaram B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660941,Anantavaram S.O,02-05-2026,All Products,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660117,Anantharajupet S.O,02-05-2026,All Products,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11104966,Ananthavaram B.O,02-05-2026,All Products,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108700,Ananthavaram B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103915,Ananthavarappadu B.O,02-05-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661298,Anaparthy S.O,02-05-2026,All Products,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
