office-id,office-name,booking-date,product-name,article-count,postage,vas,tax,fm-charges,ps-charges,ss-charges,total_amount,avg-weight
11460003,Vijayawada NSH,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,6,208,0,36,0,0,124,244,3821
11460003,Vijayawada NSH,2026-05-01T00:00:00+05:30,Inland Speed Post Document,103,3234,230,578,0,0,2328,3812,3760
11440008,Vijayawada PH,2026-05-01T00:00:00+05:30,Speed Post Parcel Domestic,514,70070,0,12612.97,0,0,0,82682.97,1034796
11260021,Visakhapatnam RMS Counter,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,1,116,0,20,0,0,0,136,2554
11260021,Visakhapatnam RMS Counter,2026-05-01T00:00:00+05:30,Inland Speed Post Document,53,2075,130,370,0,0,0,2445,2685
11260021,Visakhapatnam RMS Counter,2026-05-01T00:00:00+05:30,Speed Post Parcel Domestic,7,1310,0,238,0,0,0,1548,14875
11260017,Visakhapatnam SPCC,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,9,324,0,54,0,0,0,378,1798
11260022,Vizianagaram RMS Counter,2026-05-01T00:00:00+05:30,Inland Speed Post Document,1,68,0,12,0,0,0,80,60
11661158,A Koduru S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,15
11660992,A.C.Company S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,5,170,20,30,0,0,67,200,90
11660772,A.C.Nagar S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,7,296,0,52,0,0,50,348,4450
11660772,A.C.Nagar S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,3,141,0,26,0,0,0,167,100
11101595,A.Gokulapadu B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,2,94,0,16,0,0,0,110,40
11660993,A.Konduru S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,10
11660628,A.P.High Court S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,8,156,50,28,217.12,0,60,184,2845
11660628,A.P.High Court S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,910,44081,8370,7927.54,53880.57,160,140,7171.38,25451
11660628,A.P.High Court S.O,2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,1,120,0,22,0,0,0,142,684
11660629,A.P.Secretariat S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,10,47,0,8,0,0,710,55,801
11660630,A.T.Agraharam(Guntur) S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,35,1977,320,354,0,0,0,2331,795
11107477,A.Venkampeta B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,2,38,0,8,0,0,0,46,20
11100003,AKUTHOTAPALLI B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,40
11660778,AP Genco Nelatur SO,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,2,88,0,16,0,0,62,42,1216
11660778,AP Genco Nelatur SO,2026-05-02T00:00:00+05:30,Inland Speed Post Document,8,235,0,40.55,0,0,240,220.55,280
11107887,APHB Colony B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,71,3846,0,688,0,0,0,4534,10440
11107887,APHB Colony B.O,2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,5,460,0,84,0,0,0,544,4252
11660555,APIIIT S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,6,1425,25,256,0,0,0,1681,38580
11660555,APIIIT S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,8,245,0,44,0,0,25,289,320
11661207,APSP Camp S.O (East Godavari),2026-05-02T00:00:00+05:30,Indiapost parcel Retail,15,1076,0,192,0,0,165,1268,25380
11661207,APSP Camp S.O (East Godavari),2026-05-02T00:00:00+05:30,Inland Speed Post Document,83,2834,80,504.42,0,0,549,3216.42,3625
11661207,APSP Camp S.O (East Godavari),2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,2,540,0,98,0,0,0,638,7545
11100804,APSP Xl Batallion B.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,1,0,0,0,0,0,100,0,2000
11100804,APSP Xl Batallion B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,4,0,0,0,0,0,240,0,280
11660995,APUHS SO,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,4,36,0,6,0,0,185,42,1920
11660995,APUHS SO,2026-05-02T00:00:00+05:30,Inland Speed Post Document,27,47,30,8,0,0,1221,55,385
11660995,APUHS SO,2026-05-02T00:00:00+05:30,International Speed Post Document,4,5360,0,964,0,0,0,6324,240
11108222,AS Kaviti BO,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,63,0,12,0,0,0,75,150
11660380,AVILALA SO,2026-05-02T00:00:00+05:30,Inland Speed Post Document,2,114,20,20,0,0,0,134,55
11102970,Abbiraju Palem B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,3,171,0,30,0,0,0,201,60
11101178,Achampalle B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,30
11101179,Adadakulapalli B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,20
11100784,Adapur B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,20
11102579,Adavikothuru B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,2,94,0,16,0,0,0,110,80
11102971,Adavipalem B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,10
11660833,Addanki S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,13,772,0,138,0,0,0,910,13565
11660833,Addanki S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,15,290,80,50,0,560,0,340,408
11107197,Addaripeta B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,15
11661203,Addatigala S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,7,126,10,24,0,0,120,150,426
11106641,Adduru B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,59,0,10,0,0,0,69,80
11661295,Adikavi Nannayya University Campus S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,20,1000,0,176,0,0,0,1176,818
11102580,Adivikodiyambedu B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,30
11660222,Adoni Arts College S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,26,941,0,168.55,0,240,0,1054.55,670
11360009,Adoni H.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,4,400,0,72,0,0,0,472,9035
11360009,Adoni H.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,132,5059,843,902,0,1843,319,5798,8153
11360009,Adoni H.O,2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,3,355,0,66,0,0,0,421,5788
11660223,Adoni town S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,8,0,80,0,0,516,0,0,240
11103615,Adurupalli B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,52,0,10,0,1,0,61,38
11103191,Agadalalanka B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,59,0,10,0,0,0,69,55
11660330,Agadur S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,2,0,0,0,0,0,0,0,70
11661424,Aganampudi S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,1,96,28,18,0,0,0,114,1200
11661424,Aganampudi S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,26,1203,190,216.54,0,185,0,1364.54,750
11661424,Aganampudi S.O,2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,10,1830,0,330,0,0,0,2160,21992
11102584,Agraharam B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,72,0,12,0,0,0,84,80
11102583,Agraharam B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,24,0,4,0,0,0,28,1
11108193,Agurukancharam B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,10
11660721,Ainavole S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,100
11108194,Aitam Engg.College B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,20
11105332,Ajjaram B.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,6,797,5,142,0,0,0,939,19565
11100788,Akepadu B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,28,0,30
11660449,Akividu S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,10,728,0,130,0,0,0,858,13644
11660449,Akividu S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,12,609,70,110,0,0,0,719,474
11660449,Akividu S.O,2026-05-02T00:00:00+05:30,International Speed Post Document,1,1400,0,252,0,0,0,1652,88
11660449,Akividu S.O,2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,1,180,0,32,0,0,0,212,2010
11661425,Akkayyapalem S.O,2026-05-02T00:00:00+05:30,Gyan Post,1,20,0,4,0,0,0,24,210
11661425,Akkayyapalem S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,1,116,0,20,0,0,0,136,2765
11661425,Akkayyapalem S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,35,1590,50,282,0,5,0,1867,2602
11661425,Akkayyapalem S.O,2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,1,65,0,12,0,0,0,77,730
11660379,Akkurthi S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,3,0,0,0,0,0,0,0,290
11100002,Akuledu B.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,24,0,4,0,0,0,28,100
11660994,Akunuru S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,10
11661488,Alamanda R S S.O,2026-05-02T00:00:00+05:30,Inland Speed Post Document,2,47,0,8,0,0,0,55,60
11661488,Alamanda R S S.O,2026-05-02T00:00:00+05:30,Speed Post Parcel Domestic,2,140,0,26,0,0,0,166,948
11661296,Alamuru S.O,2026-05-02T00:00:00+05:30,Indiapost parcel Retail,3,0,0,0,0,205,0,0,2704
