office-id,office-name,booking-date,product-name,article-count,postage,vas,tax,fm-charges,ps-charges,ss-charges,total_amount,avg-weight
11360009,Adoni H.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,113,2452,766,437.05,0,3660,0,2694.05,4751
11360009,Adoni H.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,45,3510,0,632,0,356,0,4142,61424
11660223,Adoni town S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,11,57,110,10,0,568,0,67,330
11106642,Aduguluputtu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,20
11103615,Adurupalli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,11,616,0,118,0,25,0,709,165
11660330,Agadur S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,35
11660169,Agali S.O (Ananthapur),2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,0,0,0,0,0,0,0,68
11660169,Agali S.O (Ananthapur),2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,3,210,0,38,0,0,0,248,2790
11661424,Aganampudi S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,11,356,0,62,0,55,0,418,582
11661424,Aganampudi S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,2,240,0,44,0,0,0,284,2460
11101596,Agaveli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,24,0,4,0,0,0,28,10
11106441,Ainavalli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,30
11660721,Ainavole S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,15
11660721,Ainavole S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,1,50,0,10,0,0,0,60,378
11103913,Ainavolu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,94,0,16,0,10,0,100,40
11106024,Akaveedu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,4,188,0,32,0,0,0,220,110
11660449,Akividu S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,16,1350,22,244,0,0,0,1594,27995
11660449,Akividu S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,13,720,60,130,0,0,0,850,419
11660449,Akividu S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,10,960,0,172,0,0,0,1132,13413
11103616,Akkagaripeta B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,30
11661425,Akkayyapalem S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,8,677,5,122,0,0,0,799,13367
11661425,Akkayyapalem S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,65,2973,200,532,0,5,0,3500,6830
11661425,Akkayyapalem S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,21,1970,0,354,0,0,0,2324,48921
11108798,Akkivaram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,106,0,18,0,0,0,124,110
11661359,Akkupalli S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,72,0,12,0,0,0,84,60
11660379,Akkurthi S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,150
11660282,Akumalla S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,50
11660994,Akunuru S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,3,195,0,36,0,0,0,231,2785
11101182,Aladahalli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,63,0,12,0,0,0,75,200
11106643,Alamanda B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,0,0,0,0,0,0,0,40
11101973,Alamur B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,30
11100004,Alamuru B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,35
11661296,Alamuru S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,20,1018,160,182,0,74,0,1200,586
11661296,Alamuru S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,3,150,0,28,0,0,0,178,1243
11100791,Alankhan Palli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,110,0,20,0,0,0,130,83
11100412,Alappalle B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,20
11108201,Allada B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,11,265,0,52,0,0,0,317,110
11660283,Allagadda MDG S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,68,0,12,0,0,0,80,1150
11660283,Allagadda MDG S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,12,393,20,70,0,0,0,463,770
11660283,Allagadda MDG S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,12,1430,0,262,0,0,0,1692,25553
11661119,Allavaram S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,104,10,18,0,0,0,122,62
11106030,Allinagaram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,30
11104587,Allipuram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,20
11660773,Allur S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,2,184,0,32,0,0,0,216,4053
11660773,Allur S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,34,10,6,0,5,0,35,15
11660773,Allur S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,5,415,0,78,0,0,0,493,7256
11100792,Allwyn Nagar B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,157,0,28,0,0,0,185,100
11660224,Alur S.O (Kurnool),2026-06-01T00:00:00+05:30,Indiapost parcel Retail,6,2337,25,422,0,0,0,2759,66733
11660224,Alur S.O (Kurnool),2026-06-01T00:00:00+05:30,Inland Speed Post Document,12,581,100,104,0,70,0,685,330
11660224,Alur S.O (Kurnool),2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,8,735,0,132,0,0,0,867,12895
11101602,Amadaguntla B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,141,0,24,0,0,0,165,30
11660170,Amadagur S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,59,0,10,0,0,0,69,155
11660170,Amadagur S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,2,115,0,22,0,0,0,137,1110
11360052,Amadalavalasa H.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,7,376,0,67.33,0,129,0,359.33,6168
11360052,Amadalavalasa H.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,111,2745,180,489.25,0,442,0,3014.25,5500
11360052,Amadalavalasa H.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,8,445,0,82,0,0,0,527,4418
11108207,Amalapadu B.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,84,0,16,0,0,0,100,2000
11360042,Amalapuram H.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,25,1598,10,286,0,0,0,1884,29875
11360042,Amalapuram H.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,178,6804,100,1214,81,150,0,7877,7934
11360042,Amalapuram H.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,30,2200,10,396,0,90,0,2596,34095
11108208,Amapalam B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,72,0,12,0,0,0,84,90
11660171,Amarapuram S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,151,10,26,0,0,0,177,130
11660171,Amarapuram S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,2,100,0,18,0,0,0,118,1100
11660632,Amaravathi Road(Guntur) S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,2,152,0,28,0,0,0,180,2870
11660632,Amaravathi Road(Guntur) S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,122,0,22,0,0,0,144,250
11660633,Amaravathi S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,23,1308,0,236,0,0,0,1544,22142
11660633,Amaravathi S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,4,113,0,20,0,55,0,133,150
11660633,Amaravathi S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,5,660,0,120,0,0,0,780,12678
11660940,Amartaluru S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,10
11108210,Ambada B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,5,95,0,20,0,0,0,115,100
11661121,Ambajipeta S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,42,1827,310,328,0,0,0,2155,1385
11102590,Ambakam B.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,1,110,0,20,0,0,0,130,2400
11106032,Ambavaram Kothapalli B.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,52,0,10,0,0,0,62,600
11107483,Amiti B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,5,235,0,40,0,0,0,275,150
11661204,Ammajipeta S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,9,376,0,64,0,0,0,440,155
11104960,Ammapalem B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,20
11107201,Ammirekula B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,10
11107485,Ampavalli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,6,114,0,24,0,0,0,138,90
11108212,Ampolu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,10
11103405,Amudalapalli B.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,132,0,24,0,0,0,156,3063
11360044,Anakapalle H.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,8,785,5,140,0,120,0,925,35202
11360044,Anakapalle H.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,174,3955,570,705.59,0,3638,0,4392.59,6234
