office_id,office_name,mail_type_code,booking_date, total_articles , base_amount , reg_fee , pod_ack_charge , insurance_value , insurance_charge , cod_value , cod_charge , vp_value , vp_charge , cgst , sgst , otp_charge , pickup_charge , ams_charge , premailing_charge , door_delivery_charge , export_duty_inr , export_duty_usd , ddd_charge , student_discount , igst , utgst , total_amount 
11300001,Andhra Pradesh Circle,All Mail Types,19-04-2026," 4,777 "," 2,85,873 ", 55 ," 1,450 ", -   , -   ," 1,90,560 ", -   , -   , -   ," 16,856 "," 16,856 ", -   , -   , -   , -   , 10 , -   , -   , -   , -   ," 17,721 ", -   ," 3,35,367 "
11300001,Andhra Pradesh Circle,All Mail Types,20-04-2026," 42,711 "," 23,74,965 "," 24,500 "," 1,12,360 "," 59,301 "," 1,668 "," 14,78,737 ", 965 , -   , -   ," 2,01,511 "," 2,01,511 ", 410 , -   , 4 , -   ," 1,220 "," 1,000 ", -   , -   , -   ," 23,341 ", -   ," 23,99,968 "
11300001,Andhra Pradesh Circle,All Mail Types,21-04-2026," 57,991 "," 34,38,834 "," 27,280 "," 1,37,640 "," 1,36,700 "," 5,263 "," 18,63,200 "," 6,511 ", -   , -   ," 2,93,689 "," 2,93,689 ", 570 , -   , -   , -   ," 1,315 ", -   , -   , -   , -   ," 30,479 ", -   ," 34,88,845 "
11300001,Andhra Pradesh Circle,All Mail Types,22-04-2026," 50,425 "," 26,34,980 "," 20,480 "," 1,31,760 "," 2,11,300 "," 3,980 "," 12,86,152 "," 2,943 ", -   , -   ," 2,17,186 "," 2,17,186 ", 120 , -   , -   , -   ," 1,120 ", -   , -   , -   , -   ," 38,797 ", -   ," 25,41,537 "
11300001,Andhra Pradesh Circle,All Mail Types,23-04-2026," 50,511 "," 25,93,469 "," 19,155 "," 1,15,870 "," 1,68,400 "," 9,428 "," 13,64,540 "," 3,369 ", -   , -   ," 2,14,065 "," 2,14,065 "," 1,270 ", -   , -   , -   ," 1,130 ", -   , -   , -   , -   ," 37,458 ", -   ," 25,48,735 "
11300001,Andhra Pradesh Circle,All Mail Types,24-04-2026," 40,010 "," 21,19,290 "," 17,935 "," 1,02,080 "," 53,101 "," 1,245 "," 14,04,674 "," 2,358 ", -   , -   ," 1,65,400 "," 1,65,400 ", 265 , -   , -   , -   ," 1,090 ", -   , -   , -   , -   ," 49,470 ", -   ," 20,19,216 "
11300001,Andhra Pradesh Circle,All Mail Types,25-04-2026," 43,952 "," 28,03,972 "," 13,505 "," 1,21,120 "," 21,800 ", 452 ," 14,98,811 "," 2,688 ", -   , -   ," 2,31,742 "," 2,31,742 ", 170 , 50 , -   , -   ," 1,260 ", -   , -   , -   , -   ," 40,199 ", -   ," 28,12,865 "
11300001,Andhra Pradesh Circle,All Mail Types,26-04-2026," 1,781 "," 1,89,658 ", 155 ," 1,480 ", 800 , -   ," 3,62,758 ", -   , -   , -   ," 2,228 "," 2,228 ", -   , -   , -   , -   , 5 , -   , -   , -   , -   ," 29,671 ", -   ," 2,21,757 "
11300001,Andhra Pradesh Circle,All Mail Types,27-04-2026," 42,691 "," 22,96,409 "," 21,100 "," 1,14,910 "," 37,300 ", 513 ," 12,19,241 "," 3,063 ", -   , -   ," 2,03,657 "," 2,03,657 ", 365 , -   , -   , -   ," 1,325 ", -   , -   , -   , -   ," 4,682 ", -   ," 22,99,750 "
11300001,Andhra Pradesh Circle,All Mail Types,28-04-2026," 45,193 "," 24,70,097 "," 19,205 "," 1,17,260 "," 95,550 "," 2,794 "," 13,42,413 ", 874 , -   , -   ," 2,00,167 "," 2,00,167 ", 250 , -   , -   , -   ," 1,215 ", -   , -   , -   , -   ," 43,031 ", -   ," 23,84,587 "
11300001,Andhra Pradesh Circle,All Mail Types,29-04-2026," 43,235 "," 24,35,790 "," 21,355 "," 1,07,610 "," 4,52,200 "," 9,318 "," 11,34,168 "," 4,067 ", -   , -   ," 2,07,713 "," 2,07,713 ", 775 , -   , -   , -   ," 1,265 ", -   , -   , -   , -   ," 21,929 ", -   ," 23,92,397 "
11300001,Andhra Pradesh Circle,All Mail Types,30-04-2026," 45,148 "," 25,57,978 "," 16,975 "," 1,19,800 "," 17,57,000 "," 27,796 "," 19,70,570 "," 2,838 ", -   , -   ," 1,96,470 "," 1,96,470 ", 595 , 50 , -   , -   ," 1,150 ", -   , -   , -   , -   ," 66,349 ", -   ," 25,12,537 "
11300001,Andhra Pradesh Circle,All Mail Types,01-05-2026," 1,820 "," 1,37,515 ", 50 ," 4,880 ", -   , -   ," 1,85,531 ", -   , -   , -   ," 5,994 "," 5,994 ", 5 , -   , -   , -   , 45 , -   , -   , -   , -   ," 12,697 ", -   ," 1,51,122 "
11300001,Andhra Pradesh Circle,All Mail Types,02-05-2026," 42,503 "," 23,41,268 "," 14,635 "," 1,15,500 "," 47,000 "," 2,076 "," 15,70,722 "," 4,468 ", -   , -   ," 1,96,451 "," 1,96,451 ", 720 , -   , -   , -   ," 1,480 ", -   , -   , -   , -   ," 27,481 ", -   ," 22,30,369 "
11300001,Andhra Pradesh Circle,All Mail Types,03-05-2026," 1,298 "," 1,78,680 ", 90 ," 2,340 "," 56,000 ", 896 ," 1,38,427 ", -   , -   , -   ," 10,402 "," 10,402 ", -   , -   , -   , -   , 15 , -   , -   , -   , -   ," 11,336 ", -   ," 2,02,508 "
11300001,Andhra Pradesh Circle,All Mail Types,04-05-2026," 44,091 "," 25,37,577 "," 19,995 "," 1,04,510 "," 2,56,700 "," 9,591 "," 16,91,533 "," 6,743 ", -   , -   ," 2,18,088 "," 2,18,088 ", 225 , -   , -   , -   ," 1,210 "," 1,000 ", -   , -   , -   ," 19,644 ", -   ," 25,35,866 "
11300001,Andhra Pradesh Circle,All Mail Types,05-05-2026," 52,466 "," 34,37,735 "," 24,080 "," 1,22,060 "," 24,300 "," 1,110 "," 13,07,687 "," 1,960 ", -   , -   ," 3,00,308 "," 3,00,308 ", 300 , -   , 27 , -   ," 1,070 ", 896 , -   , -   , -   ," 17,359 ", -   ," 35,09,440 "
11300001,Andhra Pradesh Circle,All Mail Types,06-05-2026," 48,589 "," 28,40,485 "," 20,455 "," 1,15,950 "," 1,05,408 "," 5,649 "," 13,74,277 "," 3,193 ", -   , -   ," 2,35,601 "," 2,35,601 ", 230 , -   , -   , -   ," 1,000 "," 1,001 ", -   , -   , -   ," 39,353 ", -   ," 28,33,008 "
11300001,Andhra Pradesh Circle,All Mail Types,07-05-2026," 47,901 "," 27,28,207 "," 19,950 "," 1,20,590 "," 48,500 "," 1,928 "," 11,64,237 "," 2,817 ", -   , -   ," 2,33,177 "," 2,33,177 ", 300 , -   , 12 , -   ," 1,010 ", -   , -   , -   , -   ," 24,088 ", -   ," 27,08,135 "
11300001,Andhra Pradesh Circle,All Mail Types,08-05-2026," 47,152 "," 28,47,220 "," 20,515 "," 1,18,050 "," 34,101 "," 1,452 "," 12,87,761 "," 1,819 ", -   , -   ," 2,42,830 "," 2,42,830 ", 190 , 50 , -   , -   ," 1,275 ", -   , -   , -   , -   ," 25,768 ", -   ," 28,27,580 "
