Office ID,Office Name,Booking Date,Product Name,Walk-in Customer,Registered Bulk,On Postal Service,Govt Service,Walk-in Non-Commercial,Non-Commercial,Commercial,E-commerce,PIDPI,Student Mail,Others,Walk-in Commercial,Walk-in E-commerce,Bulk Non-Commercial,Bulk Commercial,Bulk E-commerce,BO Rebooking,Free Active Service,Inter FPO
11661121,Ambajipeta S.O,01-04-2026,All Products,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108804,Ambativalasa B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107483,Amiti B.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661204,Ammajipeta S.O,01-04-2026,All Products,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660002,Ammaladinne S.O,01-04-2026,All Products,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660834,Ammanabrolu S.O,01-04-2026,All Products,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360044,Anakapalle H.O,01-04-2026,All Products,133,327,148,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661426,Anandapuram S.O (Visakhapatnam),01-04-2026,All Products,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660905,Anantapalli S.O,01-04-2026,All Products,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660003,Anantapur Collectorate S.O,01-04-2026,All Products,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660004,Anantapur Engg College S.O,01-04-2026,All Products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11360001,Anantapur H.O,01-04-2026,All Products,223,22,44,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
11260001,Anantapur RMS  BOOKING Office,01-04-2026,All Products,178,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660117,Anantharajupet S.O,01-04-2026,All Products,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11104966,Ananthavaram B.O,01-04-2026,All Products,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108700,Ananthavaram B.O,01-04-2026,All Products,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661298,Anaparthy S.O,01-04-2026,All Products,26,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661427,Andhra University S.O,01-04-2026,All Products,139,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660775,Andhrakesari Nagar S.O,01-04-2026,All Products,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660776,Anemadugu S.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660942,Angalakudur S.O,01-04-2026,All Products,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661299,Angara S.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105335,Annadevarapeta B.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107203,Annavaram Devasthanam B.O,01-04-2026,All Products,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
